"osm_type","osm_id","name","address","housenumber","street","city","state","postcode","lat","lon","phone","website","county_fips","county_name"
way,546663640,UNF,"","","","",FL,"",30.2567206,-81.5025849,"","","12031",Duval
node,2882365086,The Rock Course,"","","","",MO,"",38.9893881,-94.5222873,"","","29095",Jackson
node,2711802044,Black Diamond Golf Course,"","","","",AK,"",63.8483963,-149.0401404,"","","02068",Denali
way,29357224,Anchorage Golf Course,"3651 O'Malley Road","3651",O'Malley Road,Anchorage,AK,"",61.1266954,-149.8162006,+1 907-522-3363,https://www.anchoragegolfcourse.com/,"02020",Anchorage
way,60995962,Fairbanks Golf Course,"1735 Farmers Loop Road","1735",Farmers Loop Road,Fairbanks,AK,"99709",64.8760991,-147.8139168,+1-907-479-6555,https://www.fairbanksgolfcourse.com/,"02090",Fairbanks North Star
way,60995963,North Star Golf Course,"","","","",AK,"",64.8960082,-147.6304007,"","","02090",Fairbanks North Star
way,194226175,Homer Golf Course,"","","","",AK,"",59.6938157,-151.3721495,"",www.homergolf.com,"02122",Kenai Peninsula
way,223190533,Fireweed Meadows Golf Course,"","","","",AK,"",59.7777763,-151.8476759,"","","02122",Kenai Peninsula
way,239444715,Chena Bend Golf Course,"","","","",AK,"",64.8307529,-147.5644499,"","","02090",Fairbanks North Star
way,240024109,Muskeg Meadows Golf Course,"","","","",AK,"",56.4763422,-132.3556585,"","","02275",Wrangell
way,247981253,Sea Mountain Golf Course,"","","","",AK,"",57.1046668,-135.3937525,"","","02220",Sitka
way,265003404,Birch Ridge Golf Course,"","","","",AK,"",60.4969659,-151.0052681,"","","02122",Kenai Peninsula
way,364252946,Russian Jack Golf Course,"","","","",AK,"",61.2065591,-149.7859684,"","","02020",Anchorage
way,389777595,Sleepy Hollow Golf Course,"","","","",AK,"",61.6566448,-149.3820514,"","","02170",Matanuska-Susitna
way,514291291,Settler's Bay Golf Course,"7307 South Frontier Drive","7307",South Frontier Drive,Wasilla,AK,"",61.5076454,-149.6084877,+1 907-376-5466,https://www.settlersbay.com/,"02170",Matanuska-Susitna
way,549461479,Cold Bay Golf Course,"","","","",AK,"",55.2036534,-162.7155646,"","","02013",Aleutians East
way,865093117,Fox Hollow,"","","","",AK,"",61.1134096,-149.8518661,"","","02020",Anchorage
way,889399395,Bear Valley Golf Course,Anton Larsen Bay Road,"",Anton Larsen Bay Road,Kodiak,AK,"",57.7854346,-152.5601684,"",https://www.kodiakmwr.com/golf.shtml,"02150",Kodiak Island
way,967129850,Driving range,"","","",Eielson AFB,AK,"99702",64.6615824,-147.0758703,"","","02090",Fairbanks North Star
way,992520789,Fishhook Golf Course,"","","","",AK,"",61.6256955,-149.1406945,"","","02170",Matanuska-Susitna
way,1071958909,Valley of the Eagles Golf Links,"","","","",AK,"",59.236288,-135.4867822,"",https://www.hainesgolf.com/,"02100",Haines
way,1458417694,Eagleglen Golf Course Elmendorf Air Force Base,"","","","",AK,"",61.2329053,-149.8122055,"","","02020",Anchorage
relation,9072807,Moose Run Golf Course,"","","","",AK,"",61.2353069,-149.6776,+1-907-384-4653,https://www.mooserungolfcourse.com/,"02020",Anchorage
relation,10511108,Palmer Municipal Golf Course,"","","","",AK,"",61.5918639,-149.080517,"","","02170",Matanuska-Susitna
relation,14600059,Kenai Golf Course,"","","","",AK,"",60.5580485,-151.1887431,+1 907-283-7500,https://www.kenaigolfcourse.com/,"02122",Kenai Peninsula
node,1338978085,JW Marriott Tucson Starr Pass Resort & Spa,"3800 West Starr Pass Boulevard","3800",West Starr Pass Boulevard,Tucson,AZ,"85745",32.210727,-111.040034,+1-520-670-0400,https://www.marriott.com/hotels/hotel-information/golf-courses/tussp-jw-marriott-tucson-starr-pass-resort-and-spa/,"04019",Pima
node,8385322483,Elite Golf Schools of Arizona,"5783 S Mountainbrook Dr","5783",S Mountainbrook Dr,Gold Canyon,AZ,"85118",33.3629543,-111.4627287,+1-480-712-9367,https://elitegolfofaz.com/gold-canyon-golf-school/,"04021",Pinal
node,9583952422,Arizona Grand Golf Course,"4852 East Euclid Avenue","4852",East Euclid Avenue,Phoenix,AZ,"85044",33.366995,-111.9716773,+1-602-431-6480,"","04013",Maricopa
node,10791376067,Copper Canyon - Mountain/Vista Course,"26577 West Desert Vista Boulevard","26577",West Desert Vista Boulevard,Buckeye,AZ,"85396",33.6655806,-112.6224356,"",https://www.coppercanyongolfclub.com/,"04013",Maricopa
node,10791376068,Copper Canyon - Vista/Lake Course,"26577 West Desert Vista Boulevard","26577",West Desert Vista Boulevard,Buckeye,AZ,"85396",33.6653041,-112.6243821,"",https://www.coppercanyongolfclub.com/,"04013",Maricopa
node,10791376069,Copper Canyon - Lake/Mountain Course,"26577 West Desert Vista Boulevard","26577",West Desert Vista Boulevard,Buckeye,AZ,"85396",33.6622034,-112.6209884,"",https://www.coppercanyongolfclub.com/,"04013",Maricopa
node,10823572142,Sun Village Golf Course,"17300 North Sun Village Parkway","17300",North Sun Village Parkway,Surprise,AZ,"85374",33.6423067,-112.3668594,"",https://sunvillage.org/,"04013",Maricopa
node,12189370034,Par Lab Golf,"","","","",AZ,"",33.419412,-111.976766,"","","04013",Maricopa
node,12639186191,Blades Golf Lounge,"24 West Camelback Road","24",West Camelback Road,Phoenix,AZ,"85013",33.5097078,-112.0757524,+1-602-456-0252,https://www.bladesgolflounge.com,"04013",Maricopa
node,12791694781,The Duke at Rancho El Dorado,"","","","",AZ,"",33.0764465,-112.0262816,"","","04021",Pinal
node,12869395091,Dryvebox,"","","","",AZ,"",33.4141669,-111.899268,"","","04013",Maricopa
node,13676733193,The Bach Nine Golf,"14420 West Elm Street","14420",West Elm Street,Surprise,AZ,"85374",33.6370342,-112.370747,"",https://thebackninegolf.com/surpriseaz/,"04013",Maricopa
way,29098714,Ken McDonald Golf Course,"800 East Divot Drive","800",East Divot Drive,Tempe,AZ,"85283",33.3564574,-111.9358875,+1-480-350-5250,http://www.golftempeaz.com/ken-mcdonald/,"04013",Maricopa
way,33011519,Phoenix Country Club,"2901 North 7th Street","2901",North 7th Street,Phoenix,AZ,"85014",33.4844991,-112.0598826,+1-602-263-5208,http://www.phoenixcc.org/,"04013",Maricopa
way,34214033,Mesa Country Club Golf Course,"660 West Fairway Drive","660",West Fairway Drive,Mesa,AZ,"85201",33.4404118,-111.845081,+1-480-964-1797,https://www.mesacountryclub.com/,"04013",Maricopa
way,34388139,Freedom Golf Course,"415 South Westwood","415",South Westwood,Mesa,AZ,"85210",33.3878906,-111.8509888,+1-480-969-0377,https://www.freedomgolfcourse.com/,"04013",Maricopa
way,43248054,The Highlands at Brentwood Pitch & Putt,"120 North Val Vista Drive","120",North Val Vista Drive,Mesa,AZ,"85213",33.4188402,-111.7543813,+1 480-832-6260,https://www.facebook.com/pages/The-Highlands-At-Brentwood/111507808889123,"04013",Maricopa
way,51965356,Mountain View Golf Course (Military),"","","",Fort Huachuca,AZ,"85670",31.5421986,-110.3143723,+1-520-533-7088; +1-520-533-7092,http://www.mwrhuachuca.com/mtview.html,"04003",Cochise
way,51990955,Papago Golf Club,"5595 East Karsten Way","5595",East Karsten Way,Phoenix,AZ,"85008",33.4578252,-111.9602663,+1-602-275-8428,https://www.papagogolfclub.com/,"04013",Maricopa
way,61414903,Silverado Golf Club,"7605 East Indian Bend Road","7605",East Indian Bend Road,Scottsdale,AZ,"85250",33.530844,-111.9039428,+1-480-778-0100,https://www.scottsdalesilveradogolfclub.com/,"04013",Maricopa
way,61417793,Talking Stick Golf Club,"9998 East Talking Stick Way","9998",East Talking Stick Way,Scottsdale,AZ,"85256",33.545995,-111.8643696,+1-480-860-2221,https://www.talkingstickgolfclub.com/,"04013",Maricopa
way,61418760,Arizona Country Club,"","","","",AZ,"",33.485063,-111.9564792,+1-480-947-7666,https://www.azcountryclub.com/,"04013",Maricopa
way,61421733,Continental Golf Club (Scottsdale),"7920 East Osborn Road","7920",East Osborn Road,Scottsdale,AZ,"85251",33.4876419,-111.9111008,+1-480-941-1585,https://www.continentalgc.com/,"04013",Maricopa
way,61428068,Palo Verde Golf Course (Phoenix),"","","","",AZ,"",33.5293741,-112.0889495,+1-602-249-9930,"","04013",Maricopa
way,61499695,Camelback Golf Club,"7847 North Mockingbird Lane","7847",North Mockingbird Lane,Paradise Valley,AZ,"85253",33.5660221,-111.9465689,+1-480-596-7050,https://camelbackgolf.com/,"04013",Maricopa
way,77711517,Tatum Ranch Golf Club,"2988 North Tatum Ranch Drive","2988",North Tatum Ranch Drive,Cave Creek,AZ,"85331",33.7602476,-111.9817179,+1-480-585-2399,https://www.tatumranchgc.com/,"04013",Maricopa
way,262000527,Helena Country Club,"","","","",AR,"",34.5344061,-90.6327707,"","","05107",Phillips
way,78388948,TPC Scottsdale Stadium Course,"7020 North Hayden Road","7020",North Hayden Road,Scottsdale,AZ,"85255",33.6401459,-111.9158897,+1-888-400-4001; +1-480-585-4334,https://tpc.com/scottsdale-the-stadium-course,"04013",Maricopa
